LON,LAT,GAP
-104.4,32.2,39.65
-104.4,32.45,52.59
-104.4,32.7,56.56
-104.4,32.95,61.11
-104.4,33.2,66.34
-104.4,33.45,72.38
-104.4,33.7,79.35
-104.4,33.95,87.39
-104.4,34.2,96.61
-104.4,34.45,107.05
-104.4,34.7,118.70
-104.4,34.95,131.42
-104.4,35.2,142.54
-104.4,35.45,152.62
-104.4,35.7,162.23
-104.4,35.95,171.23
-104.4,36.2,179.59
-104.15,28.2,62.40
-104.15,28.45,62.06
-104.15,28.7,66.42
-104.15,28.95,69.30
-104.15,29.2,71.00
-104.15,29.45,71.78
-104.15,29.7,71.85
-104.15,29.95,71.37
-104.15,30.2,70.45
-104.15,30.45,68.28
-104.15,30.7,65.32
-104.15,30.95,58.72
-104.15,31.2,42.64
-104.15,31.45,30.73
-104.15,31.7,30.57
-104.15,31.95,42.15
-104.15,32.2,49.55
-104.15,32.45,53.02
-104.15,32.7,56.94
-104.15,32.95,61.39
-104.15,33.2,66.46
-104.15,33.45,72.26
-104.15,33.7,78.88
-104.15,33.95,86.41
-104.15,34.2,94.95
-104.15,34.45,104.53
-104.15,34.7,115.16
-104.15,34.95,126.81
-104.15,35.2,139.46
-104.15,35.45,149.33
-104.15,35.7,158.31
-104.15,35.95,166.89
-104.15,36.2,175.00
-103.9,28.2,64.48
-103.9,28.45,58.78
-103.9,28.7,60.46
-103.9,28.95,63.47
-103.9,29.2,65.46
-103.9,29.45,66.61
-103.9,29.7,67.07
-103.9,29.95,66.97
-103.9,30.2,66.44
-103.9,30.45,64.69
-103.9,30.7,62.42
-103.9,30.95,58.73
-103.9,31.2,46.02
-103.9,31.45,35.52
-103.9,31.7,16.31
-103.9,31.95,21.51
-103.9,32.2,22.74
-103.9,32.45,42.59
-103.9,32.7,47.59
-103.9,32.95,61.23
-103.9,33.2,66.09
-103.9,33.45,71.57
-103.9,33.7,77.77
-103.9,33.95,84.75
-103.9,34.2,92.58
-103.9,34.45,101.30
-103.9,34.7,110.94
-103.9,34.95,121.55
-103.9,35.2,133.23
-103.9,35.45,146.16
-103.9,35.7,154.70
-103.9,35.95,162.87
-103.9,36.2,170.73
-103.65,28.2,65.83
-103.65,28.45,60.35
-103.65,28.7,55.55
-103.65,28.95,58.45
-103.65,29.2,60.58
-103.65,29.45,61.95
-103.65,29.7,62.69
-103.65,29.95,62.91
-103.65,30.2,62.69
-103.65,30.45,61.29
-103.65,30.7,59.43
-103.65,30.95,57.37
-103.65,31.2,46.78
-103.65,31.45,19.85
-103.65,31.7,19.54
-103.65,31.95,11.36
-103.65,32.2,15.24
-103.65,32.45,27.97
-103.65,32.7,40.10
-103.65,32.95,60.69
-103.65,33.2,65.27
-103.65,33.45,70.40
-103.65,33.7,76.13
-103.65,33.95,82.52
-103.65,34.2,89.62
-103.65,34.45,97.46
-103.65,34.7,106.09
-103.65,34.95,115.61
-103.65,35.2,126.19
-103.65,35.45,138.17
-103.65,35.7,151.29
-103.65,35.95,159.09
-103.65,36.2,166.69
-103.4,28.2,66.59
-103.4,28.45,61.39
-103.4,28.7,56.75
-103.4,28.95,54.11
-103.4,29.2,56.28
-103.4,29.45,45.75
-103.4,29.7,58.72
-103.4,29.95,59.17
-103.4,30.2,59.20
-103.4,30.45,38.16
-103.4,30.7,53.89
-103.4,30.95,54.87
-103.4,31.2,17.46
-103.4,31.45,10.57
-103.4,31.7,10.28
-103.4,31.95,12.34
-103.4,32.2,26.33
-103.4,32.45,41.74
-103.4,32.7,55.96
-103.4,32.95,59.81
-103.4,33.2,64.08
-103.4,33.45,68.81
-103.4,33.7,74.05
-103.4,33.95,79.82
-103.4,34.2,86.15
-103.4,34.45,93.09
-103.4,34.7,100.67
-103.4,34.95,108.99
-103.4,35.2,118.25
-103.4,35.45,128.89
-103.4,35.7,141.76
-103.4,35.95,155.46
-103.4,36.2,162.81
-103.15,28.2,66.86
-103.15,28.45,61.97
-103.15,28.7,57.54
-103.15,28.95,53.56
-103.15,29.2,52.49
-103.15,29.45,46.79
-103.15,29.7,45.50
-103.15,29.95,55.74
-103.15,30.2,55.97
-103.15,30.45,45.06
-103.15,30.7,34.11
-103.15,30.95,42.30
-103.15,31.2,18.00
-103.15,31.45,11.65
-103.15,31.7,11.68
-103.15,31.95,19.21
-103.15,32.2,40.47
-103.15,32.45,50.82
-103.15,32.7,55.06
-103.15,32.95,58.64
-103.15,33.2,62.57
-103.15,33.45,66.88
-103.15,33.7,71.60
-103.15,33.95,76.73
-103.15,34.2,82.29
-103.15,34.45,88.29
-103.15,34.7,94.76
-103.15,34.95,101.76
-103.15,35.2,109.45
-103.15,35.45,118.20
-103.15,35.7,128.88
-103.15,35.95,143.69
-103.15,36.2,159.02
-102.9,28.2,66.75
-102.9,28.45,62.17
-102.9,28.7,57.98
-102.9,28.95,54.16
-102.9,29.2,50.70
-102.9,29.45,47.57
-102.9,29.7,44.74
-102.9,29.95,47.08
-102.9,30.2,52.99
-102.9,30.45,45.59
-102.9,30.7,28.14
-102.9,30.95,35.55
-102.9,31.2,18.40
-102.9,31.45,17.27
-102.9,31.7,25.42
-102.9,31.95,32.44
-102.9,32.2,38.61
-102.9,32.45,41.17
-102.9,32.7,39.42
-102.9,32.95,31.68
-102.9,33.2,60.80
-102.9,33.45,64.68
-102.9,33.7,68.86
-102.9,33.95,73.35
-102.9,34.2,78.13
-102.9,34.45,83.19
-102.9,34.7,88.52
-102.9,34.95,94.11
-102.9,35.2,100.00
-102.9,35.45,106.34
-102.9,35.7,113.56
-102.9,35.95,123.06
-102.9,36.2,141.19
-102.65,28.2,66.33
-102.65,28.45,62.06
-102.65,28.7,58.11
-102.65,28.95,54.48
-102.65,29.2,51.16
-102.65,29.45,48.12
-102.65,29.7,45.35
-102.65,29.95,42.82
-102.65,30.2,46.53
-102.65,30.45,44.64
-102.65,30.7,33.44
-102.65,30.95,29.20
-102.65,31.2,25.85
-102.65,31.45,22.60
-102.65,31.7,25.44
-102.65,31.95,28.79
-102.65,32.2,29.91
-102.65,32.45,26.34
-102.65,32.7,31.65
-102.65,32.95,51.06
-102.65,33.2,52.54
-102.65,33.45,52.53
-102.65,33.7,46.69
-102.65,33.95,69.78
-102.65,34.2,73.79
-102.65,34.45,77.92
-102.65,34.7,82.11
-102.65,34.95,86.27
-102.65,35.2,90.28
-102.65,35.45,93.97
-102.65,35.7,97.01
-102.65,35.95,98.52
-102.65,36.2,94.31
-102.4,28.2,65.65
-102.4,28.45,61.69
-102.4,28.7,57.99
-102.4,28.95,54.55
-102.4,29.2,51.38
-102.4,29.45,48.46
-102.4,29.7,45.77
-102.4,29.95,43.31
-102.4,30.2,41.04
-102.4,30.45,40.55
-102.4,30.7,37.05
-102.4,30.95,33.25
