LON,LAT,GAP
-80.0,-3.0,285.29
-80.0,-2.5,279.94
-80.0,-2.0,274.13
-80.0,-1.5,267.83
-80.0,-1.0,261.08
-80.0,-0.5,253.86
-80.0,0.0,246.17
-80.0,0.5,237.98
-80.0,1.0,229.18
-80.0,1.5,219.56
-80.0,2.0,205.39
-80.0,2.5,187.58
-80.0,3.0,168.71
-80.0,3.5,144.39
-80.0,4.0,120.33
-80.0,4.5,98.46
-80.0,5.0,112.57
-80.0,5.5,123.16
-80.0,6.0,130.74
-80.0,6.5,136.09
-80.0,7.0,139.83
-80.0,7.5,142.39
-80.0,8.0,144.03
-80.0,8.5,144.91
-80.0,9.0,145.11
-80.0,9.5,144.61
-80.0,10.0,143.34
-80.0,10.5,141.14
-80.0,11.0,137.68
-80.0,11.5,132.43
-80.0,12.0,135.40
-80.0,12.5,151.55
-80.0,13.0,172.62
-80.0,13.5,197.13
-79.5,-3.0,283.94
-79.5,-2.5,278.08
-79.5,-2.0,271.63
-79.5,-1.5,264.59
-79.5,-1.0,256.97
-79.5,-0.5,248.79
-79.5,0.0,240.07
-79.5,0.5,230.82
-79.5,1.0,220.98
-79.5,1.5,210.42
-79.5,2.0,191.36
-79.5,2.5,172.71
-79.5,3.0,148.30
-79.5,3.5,127.84
-79.5,4.0,109.42
-79.5,4.5,92.73
-79.5,5.0,102.82
-79.5,5.5,112.13
-79.5,6.0,119.36
-79.5,6.5,124.78
-79.5,7.0,128.74
-79.5,7.5,131.51
-79.5,8.0,133.31
-79.5,8.5,134.24
-79.5,9.0,134.38
-79.5,9.5,133.71
-79.5,10.0,132.16
-79.5,10.5,129.57
-79.5,11.0,125.67
-79.5,11.5,131.80
-79.5,12.0,144.39
-79.5,12.5,159.55
-79.5,13.0,177.31
-79.5,13.5,196.54
-79.0,-3.0,283.17
-79.0,-2.5,276.81
-79.0,-2.0,269.74
-79.0,-1.5,261.94
-79.0,-1.0,253.42
-79.0,-0.5,244.25
-79.0,0.0,234.50
-79.0,0.5,224.24
-79.0,1.0,213.49
-79.0,1.5,198.48
-79.0,2.0,175.65
-79.0,2.5,140.71
-79.0,3.0,123.35
-79.0,3.5,109.68
-79.0,4.0,96.90
-79.0,4.5,85.98
-79.0,5.0,95.26
-79.0,5.5,103.26
-79.0,6.0,109.80
-79.0,6.5,114.94
-79.0,7.0,118.82
-79.0,7.5,121.61
-79.0,8.0,123.42
-79.0,8.5,124.35
-79.0,9.0,124.44
-79.0,9.5,123.67
-79.0,10.0,121.98
-79.0,10.5,119.25
-79.0,11.0,127.66
-79.0,11.5,138.45
-79.0,12.0,150.83
-79.0,12.5,164.90
-79.0,13.0,180.42
-79.0,13.5,196.65
-78.5,-3.0,283.08
-78.5,-2.5,276.28
-78.5,-2.0,268.60
-78.5,-1.5,260.01
-78.5,-1.0,250.55
-78.5,-0.5,240.31
-78.5,0.0,229.44
-78.5,0.5,218.13
-78.5,1.0,206.52
-78.5,1.5,179.36
-78.5,2.0,85.02
-78.5,2.5,95.76
-78.5,3.0,96.07
-78.5,3.5,90.90
-78.5,4.0,83.71
-78.5,4.5,81.35
-78.5,5.0,89.05
-78.5,5.5,95.88
-78.5,6.0,101.67
-78.5,6.5,106.36
-78.5,7.0,110.00
-78.5,7.5,112.66
-78.5,8.0,114.41
-78.5,8.5,115.29
-78.5,9.0,115.34
-78.5,9.5,114.53
-78.5,10.0,113.84
-78.5,10.5,122.94
-78.5,11.0,132.69
-78.5,11.5,143.56
-78.5,12.0,155.60
-78.5,12.5,168.77
-78.5,13.0,182.80
-78.5,13.5,197.19
-78.0,-3.0,283.82
-78.0,-2.5,276.64
-78.0,-2.0,268.39
