LON,LAT,GAP
-106.0,28.2,360.00
-106.0,28.45,360.00
-106.0,28.7,360.00
-106.0,28.95,360.00
-106.0,29.2,360.00
-106.0,29.45,360.00
-106.0,29.7,360.00
-106.0,29.95,360.00
-106.0,30.2,360.00
-106.0,30.45,360.00
-106.0,30.7,360.00
-106.0,30.95,360.00
-106.0,31.2,360.00
-106.0,31.45,360.00
-106.0,31.7,360.00
-106.0,31.95,360.00
-106.0,32.2,360.00
-106.0,32.45,360.00
-106.0,32.7,360.00
-106.0,32.95,360.00
-106.0,33.2,360.00
-106.0,33.45,360.00
-106.0,33.7,360.00
-106.0,33.95,360.00
-106.0,34.2,360.00
-106.0,34.45,360.00
-106.0,34.7,360.00
-106.0,34.95,360.00
-106.0,35.2,360.00
-106.0,35.45,360.00
-106.0,35.7,360.00
-106.0,35.95,360.00
-106.0,36.2,360.00
-106.0,36.45,360.00
-105.75,28.2,360.00
-105.75,28.45,360.00
-105.75,28.7,360.00
-105.75,28.95,360.00
-105.75,29.2,360.00
-105.75,29.45,360.00
-105.75,29.7,360.00
-105.75,29.95,360.00
-105.75,30.2,360.00
-105.75,30.45,360.00
-105.75,30.7,360.00
-105.75,30.95,360.00
-105.75,31.2,360.00
-105.75,31.45,360.00
-105.75,31.7,360.00
-105.75,31.95,360.00
-105.75,32.2,360.00
-105.75,32.45,360.00
-105.75,32.7,360.00
-105.75,32.95,360.00
-105.75,33.2,360.00
-105.75,33.45,360.00
-105.75,33.7,360.00
-105.75,33.95,360.00
-105.75,34.2,360.00
-105.75,34.45,360.00
-105.75,34.7,360.00
-105.75,34.95,360.00
-105.75,35.2,360.00
-105.75,35.45,360.00
-105.75,35.7,360.00
-105.75,35.95,360.00
-105.75,36.2,360.00
-105.75,36.45,360.00
-105.5,28.2,360.00
-105.5,28.45,360.00
-105.5,28.7,360.00
-105.5,28.95,360.00
-105.5,29.2,360.00
-105.5,29.45,360.00
-105.5,29.7,360.00
-105.5,29.95,360.00
-105.5,30.2,360.00
-105.5,30.45,360.00
-105.5,30.7,360.00
-105.5,30.95,360.00
-105.5,31.2,360.00
-105.5,31.45,360.00
-105.5,31.7,360.00
-105.5,31.95,360.00
-105.5,32.2,360.00
-105.5,32.45,360.00
-105.5,32.7,360.00
-105.5,32.95,360.00
-105.5,33.2,360.00
-105.5,33.45,360.00
-105.5,33.7,360.00
-105.5,33.95,360.00
-105.5,34.2,360.00
-105.5,34.45,360.00
-105.5,34.7,360.00
-105.5,34.95,360.00
