sta,lon,lat
441B,-93.189796,30.7498
545B,-90.489403,30.0441
735B,-97.808197,28.855301
ABTX,-99.643097,32.623798
MSTX,-102.7724,33.969601
WHTX,-97.4561,31.991301
Z35B,-97.252998,33.330898
Z38B,-94.985199,33.259899
TX01,-103.6677,29.334
TX02,-103.658,29.3299
TX03,-103.6743,29.3314
TX04,-103.6673,29.3399
TX06,-103.682,29.319
TX07,-103.689,29.3404
TX08,-103.6769,29.3509
TX09,-103.6602,29.3437
TX10,-103.7035,29.3305
TX31,-103.6677,29.3343
TX32,-103.6677,29.334
LWM1,-103.63,31.2312
LWM2,-103.5847,31.2699
PR01,-103.270332,31.2365
DB04,-103.1054,31.0664
DB03,-103.078,31.1162
DB02,-103.1096,31.1858
OP01,-101.36427,32.43232
WB01,-104.060278,31.721667
MBBB1,-101.891072,32.246247
MID01,-102.2322,31.949
MID02,-102.1669,32.1297
SA02,-104.2649,31.67163
SA04,-104.25458,31.75593
SA06,-104.14971,31.75696
HP01,-101.2256703,32.4498025
CT01,-104.144532,31.90285
CT02,-104.122493,31.95689
MID03,-102.2109,32.0121
PL01,-103.3596294,31.9948147
CF01,-100.58318,32.80184
WB03,-103.9688386,31.6107215
WB02,-103.9449205,31.7363019
MBBB2,-102.073906,32.053452
SA09,-104.31933,31.9998
SA07,-104.36481,31.86578
WB04,-103.950319,31.530513
WB05,-103.8329479,31.7537807
WB06,-103.7187809,31.9975481
WB07,-103.8016616,31.99830925
WB08,-103.759894,31.96355
WB09,-103.8032847,31.96368917
WB10,-103.7218932,31.93042
WB11,-103.8004139,31.92770654
WB12,-103.7642735,31.898132
CV01,-104.0889,31.8504
AT01,-101.73096,31.80227
BP01,-103.8244,31.8409
MO01,-101.4394,32.5118
SM01,-101.9041,32.1913
MBBB3,-101.709457,31.843938
MBBB4,-101.89224,31.830239
MBBB5,-102.082661,32.282248
GV02,-101.39524,32.35144
GV01,-101.59866,32.40766
SM02,-102.1208,32.3607
AZEP,-97.535378,32.963421
AZNH,-97.590424,32.989052
BRRD,-97.537849,32.99485
UDKH,-96.916786,32.846939
VAVE,-97.144112,32.519421
VTAX,-97.143913,32.51968
MID04,-101.8636,32.2189
UB01,-103.2117,31.1133
NMP01,-103.86048,32.20476
NMP02,-103.86139,32.08945
NMP11,-103.93155,32.00668
NMP12,-103.95259,32.12755
NMP23,-103.802893,32.167112
NMP25,-103.860072,32.33787
NMP31,-103.73465,32.03585
NMP34,-103.68967,32.26384
NMP35,-103.724675,32.352297
NMP41,-103.596471,32.00509
NMP44,-103.61883,32.20474
NMP45,-103.58198,32.33145
NMP51,-103.421678,32.00448
NMP53,-103.431176,32.17626
DG10,-103.488839,31.392949
PB39,-104.060278,31.721667
SM03,-101.8702,32.288
LWM3,-103.608,31.4101
MG01,-101.9529289,32.4021489
SD01,-101.9796,32.5455
