LON,LAT,GAP
-106.0,28.2,360.00
-106.0,28.7,360.00
-106.0,29.2,360.00
-106.0,29.7,360.00
-106.0,30.2,360.00
-106.0,30.7,360.00
-106.0,31.2,360.00
-106.0,31.7,360.00
-106.0,32.2,360.00
-106.0,32.7,360.00
-106.0,33.2,360.00
-106.0,33.7,360.00
-106.0,34.2,360.00
-106.0,34.7,360.00
-106.0,35.2,360.00
-106.0,35.7,360.00
-106.0,36.2,360.00
-105.5,28.2,360.00
-105.5,28.7,360.00
-105.5,29.2,360.00
-105.5,29.7,360.00
-105.5,30.2,360.00
-105.5,30.7,360.00
-105.5,31.2,360.00
-105.5,31.7,360.00
-105.5,32.2,360.00
-105.5,32.7,360.00
-105.5,33.2,360.00
-105.5,33.7,360.00
-105.5,34.2,360.00
-105.5,34.7,360.00
-105.5,35.2,360.00
-105.5,35.7,360.00
-105.5,36.2,360.00
-105.0,28.2,360.00
-105.0,28.7,360.00
-105.0,29.2,360.00
-105.0,29.7,360.00
-105.0,30.2,360.00
-105.0,30.7,360.00
-105.0,31.2,360.00
-105.0,31.7,360.00
-105.0,32.2,360.00
-105.0,32.7,360.00
-105.0,33.2,360.00
-105.0,33.7,360.00
-105.0,34.2,360.00
-105.0,34.7,360.00
-105.0,35.2,360.00
-105.0,35.7,360.00
-105.0,36.2,360.00
-104.5,28.2,360.00
-104.5,28.7,360.00
-104.5,29.2,360.00
-104.5,29.7,360.00
-104.5,30.2,360.00
-104.5,30.7,360.00
-104.5,31.2,360.00
-104.5,31.7,233.95
-104.5,32.2,360.00
-104.5,32.7,360.00
-104.5,33.2,360.00
-104.5,33.7,360.00
-104.5,34.2,360.00
-104.5,34.7,360.00
-104.5,35.2,360.00
-104.5,35.7,360.00
-104.5,36.2,360.00
-104.0,28.2,360.00
-104.0,28.7,360.00
-104.0,29.2,360.00
-104.0,29.7,360.00
-104.0,30.2,360.00
-104.0,30.7,360.00
-104.0,31.2,360.00
-104.0,31.7,273.14
-104.0,32.2,360.00
-104.0,32.7,360.00
-104.0,33.2,360.00
-104.0,33.7,360.00
-104.0,34.2,360.00
-104.0,34.7,360.00
-104.0,35.2,360.00
-104.0,35.7,360.00
-104.0,36.2,360.00
-103.5,28.2,360.00
-103.5,28.7,360.00
-103.5,29.2,360.00
-103.5,29.7,360.00
-103.5,30.2,360.00
-103.5,30.7,360.00
-103.5,31.2,360.00
-103.5,31.7,360.00
-103.5,32.2,360.00
-103.5,32.7,360.00
-103.5,33.2,360.00
-103.5,33.7,360.00
-103.5,34.2,360.00
-103.5,34.7,360.00
-103.5,35.2,360.00
-103.5,35.7,360.00
-103.5,36.2,360.00
-103.0,28.2,360.00
-103.0,28.7,360.00
-103.0,29.2,360.00
-103.0,29.7,360.00
-103.0,30.2,360.00
-103.0,30.7,360.00
-103.0,31.2,360.00
-103.0,31.7,360.00
-103.0,32.2,360.00
-103.0,32.7,360.00
-103.0,33.2,360.00
-103.0,33.7,360.00
-103.0,34.2,360.00
-103.0,34.7,360.00
-103.0,35.2,360.00
-103.0,35.7,360.00
-103.0,36.2,360.00
-102.5,28.2,360.00
-102.5,28.7,360.00
-102.5,29.2,360.00
-102.5,29.7,360.00
-102.5,30.2,360.00
-102.5,30.7,360.00
-102.5,31.2,360.00
-102.5,31.7,360.00
-102.5,32.2,360.00
-102.5,32.7,360.00
-102.5,33.2,360.00
-102.5,33.7,360.00
-102.5,34.2,360.00
-102.5,34.7,360.00
-102.5,35.2,360.00
-102.5,35.7,360.00
-102.5,36.2,360.00
-102.0,28.2,360.00
-102.0,28.7,360.00
-102.0,29.2,360.00
-102.0,29.7,360.00
-102.0,30.2,360.00
-102.0,30.7,360.00
-102.0,31.2,360.00
-102.0,31.7,360.00
-102.0,32.2,360.00
-102.0,32.7,360.00
-102.0,33.2,360.00
-102.0,33.7,360.00
-102.0,34.2,360.00
-102.0,34.7,360.00
-102.0,35.2,360.00
-102.0,35.7,360.00
-102.0,36.2,360.00
-101.5,28.2,360.00
-101.5,28.7,360.00
-101.5,29.2,360.00
-101.5,29.7,360.00
-101.5,30.2,360.00
-101.5,30.7,360.00
-101.5,31.2,360.00
-101.5,31.7,360.00
-101.5,32.2,360.00
-101.5,32.7,360.00
-101.5,33.2,360.00
-101.5,33.7,360.00
-101.5,34.2,360.00
-101.5,34.7,360.00
-101.5,35.2,360.00
-101.5,35.7,360.00
-101.5,36.2,360.00
-101.0,28.2,360.00
-101.0,28.7,360.00
-101.0,29.2,360.00
-101.0,29.7,360.00
-101.0,30.2,360.00
-101.0,30.7,360.00
-101.0,31.2,360.00
-101.0,31.7,360.00
-101.0,32.2,360.00
-101.0,32.7,360.00
-101.0,33.2,360.00
-101.0,33.7,360.00
-101.0,34.2,360.00
-101.0,34.7,360.00
-101.0,35.2,360.00
-101.0,35.7,360.00
-101.0,36.2,360.00
-100.5,28.2,360.00
-100.5,28.7,360.00
-100.5,29.2,360.00
-100.5,29.7,360.00
-100.5,30.2,360.00
-100.5,30.7,360.00
-100.5,31.2,360.00
-100.5,31.7,360.00
-100.5,32.2,360.00
-100.5,32.7,360.00
-100.5,33.2,360.00
-100.5,33.7,360.00
-100.5,34.2,360.00
-100.5,34.7,360.00
-100.5,35.2,360.00
-100.5,35.7,360.00
-100.5,36.2,360.00
-100.0,28.2,360.00
-100.0,28.7,360.00
-100.0,29.2,360.00
-100.0,29.7,360.00
-100.0,30.2,360.00
-100.0,30.7,360.00
-100.0,31.2,360.00
-100.0,31.7,360.00
-100.0,32.2,360.00
-100.0,32.7,360.00
-100.0,33.2,360.00
-100.0,33.7,360.00
-100.0,34.2,360.00
-100.0,34.7,360.00
-100.0,35.2,360.00
-100.0,35.7,360.00
-100.0,36.2,360.00
-99.5,28.2,360.00
-99.5,28.7,360.00
-99.5,29.2,360.00
-99.5,29.7,360.00
-99.5,30.2,360.00
-99.5,30.7,360.00
-99.5,31.2,360.00
-99.5,31.7,360.00
-99.5,32.2,360.00
-99.5,32.7,360.00
-99.5,33.2,360.00
-99.5,33.7,360.00
-99.5,34.2,360.00
-99.5,34.7,360.00
-99.5,35.2,360.00
-99.5,35.7,360.00
-99.5,36.2,360.00
-99.0,28.2,360.00
-99.0,28.7,360.00
-99.0,29.2,360.00
-99.0,29.7,360.00
-99.0,30.2,360.00
-99.0,30.7,360.00
-99.0,31.2,360.00
-99.0,31.7,360.00
-99.0,32.2,360.00
-99.0,32.7,360.00
-99.0,33.2,360.00
-99.0,33.7,360.00
-99.0,34.2,360.00
-99.0,34.7,360.00
-99.0,35.2,360.00
-99.0,35.7,360.00
-99.0,36.2,360.00
-98.5,28.2,360.00
-98.5,28.7,360.00
-98.5,29.2,360.00
-98.5,29.7,360.00
-98.5,30.2,360.00
-98.5,30.7,360.00
-98.5,31.2,360.00
-98.5,31.7,360.00
-98.5,32.2,360.00
-98.5,32.7,360.00
-98.5,33.2,360.00
-98.5,33.7,360.00
-98.5,34.2,360.00
-98.5,34.7,360.00
-98.5,35.2,360.00
-98.5,35.7,360.00
-98.5,36.2,360.00
-98.0,28.2,360.00
-98.0,28.7,360.00
-98.0,29.2,360.00
-98.0,29.7,360.00
-98.0,30.2,360.00
-98.0,30.7,360.00
-98.0,31.2,360.00
-98.0,31.7,360.00
-98.0,32.2,360.00
-98.0,32.7,360.00
-98.0,33.2,360.00
-98.0,33.7,360.00
-98.0,34.2,360.00
-98.0,34.7,360.00
-98.0,35.2,360.00
-98.0,35.7,360.00
-98.0,36.2,360.00
-97.5,28.2,360.00
-97.5,28.7,360.00
-97.5,29.2,360.00
-97.5,29.7,360.00
-97.5,30.2,360.00
-97.5,30.7,360.00
-97.5,31.2,360.00
-97.5,31.7,360.00
-97.5,32.2,360.00
-97.5,32.7,360.00
-97.5,33.2,360.00
-97.5,33.7,360.00
-97.5,34.2,360.00
-97.5,34.7,360.00
-97.5,35.2,360.00
-97.5,35.7,360.00
-97.5,36.2,360.00
-97.0,28.2,360.00
-97.0,28.7,360.00
-97.0,29.2,360.00
-97.0,29.7,360.00
-97.0,30.2,360.00
-97.0,30.7,360.00
-97.0,31.2,360.00
-97.0,31.7,360.00
-97.0,32.2,360.00
-97.0,32.7,360.00
-97.0,33.2,360.00
-97.0,33.7,360.00
-97.0,34.2,360.00
-97.0,34.7,360.00
-97.0,35.2,360.00
-97.0,35.7,360.00
-97.0,36.2,360.00
-96.5,28.2,360.00
-96.5,28.7,360.00
-96.5,29.2,360.00
-96.5,29.7,360.00
-96.5,30.2,360.00
-96.5,30.7,360.00
-96.5,31.2,360.00
-96.5,31.7,360.00
-96.5,32.2,360.00
