LON,LAT,GAP
-105.95,32.15,360.00
-105.95,32.2,360.00
-105.95,32.25,360.00
-105.95,32.3,360.00
-105.95,32.35,360.00
-105.95,32.4,360.00
-105.95,32.45,360.00
-105.95,32.5,360.00
-105.95,32.55,360.00
-105.95,32.6,360.00
-105.95,32.65,360.00
-105.95,32.7,360.00
-105.95,32.75,360.00
-105.95,32.8,360.00
-105.95,32.85,360.00
-105.95,32.9,360.00
-105.95,32.95,360.00
-105.95,33.0,360.00
-105.95,33.05,360.00
-105.95,33.1,360.00
-105.95,33.15,360.00
-105.95,33.2,360.00
-105.95,33.25,360.00
-105.95,33.3,360.00
-105.95,33.35,360.00
-105.95,33.4,360.00
-105.95,33.45,360.00
-105.95,33.5,360.00
-105.95,33.55,360.00
-105.95,33.6,360.00
-105.95,33.65,360.00
-105.95,33.7,360.00
-105.95,33.75,360.00
-105.95,33.8,360.00
-105.95,33.85,360.00
-105.95,33.9,360.00
-105.95,33.95,360.00
-105.95,34.0,360.00
-105.95,34.05,360.00
-105.95,34.1,360.00
-105.95,34.15,360.00
-105.95,34.2,360.00
-105.95,34.25,360.00
-105.95,34.3,360.00
-105.95,34.35,360.00
-105.95,34.4,360.00
-105.95,34.45,360.00
-105.95,34.5,360.00
-105.95,34.55,360.00
-105.95,34.6,360.00
-105.95,34.65,360.00
-105.95,34.7,360.00
-105.95,34.75,360.00
-105.95,34.8,360.00
-105.95,34.85,360.00
-105.95,34.9,360.00
-105.95,34.95,360.00
-105.95,35.0,360.00
-105.95,35.05,360.00
-105.95,35.1,360.00
-105.95,35.15,360.00
-105.95,35.2,360.00
-105.95,35.25,360.00
-105.95,35.3,360.00
-105.95,35.35,360.00
-105.95,35.4,360.00
-105.95,35.45,360.00
-105.95,35.5,360.00
-105.95,35.55,360.00
-105.95,35.6,360.00
-105.95,35.65,360.00
-105.95,35.7,360.00
-105.95,35.75,360.00
-105.95,35.8,360.00
-105.95,35.85,360.00
-105.95,35.9,360.00
-105.95,35.95,360.00
-105.95,36.0,360.00
-105.95,36.05,360.00
-105.95,36.1,360.00
-105.95,36.15,360.00
-105.95,36.2,360.00
-105.95,36.25,360.00
-105.95,36.3,360.00
-105.95,36.35,360.00
-105.95,36.4,360.00
-105.95,36.45,360.00
-105.9,28.2,360.00
-105.9,28.25,360.00
-105.9,28.3,360.00
-105.9,28.35,360.00
-105.9,28.4,360.00
-105.9,28.45,360.00
-105.9,28.5,360.00
-105.9,28.55,360.00
-105.9,28.6,360.00
-105.9,28.65,360.00
-105.9,28.7,360.00
-105.9,28.75,360.00
-105.9,28.8,360.00
-105.9,28.85,360.00
-105.9,28.9,360.00
-105.9,28.95,360.00
-105.9,29.0,360.00
-105.9,29.05,360.00
-105.9,29.1,360.00
-105.9,29.15,360.00
-105.9,29.2,360.00
-105.9,29.25,360.00
-105.9,29.3,360.00
-105.9,29.35,360.00
-105.9,29.4,360.00
-105.9,29.45,360.00
-105.9,29.5,360.00
-105.9,29.55,360.00
-105.9,29.6,360.00
-105.9,29.65,360.00
-105.9,29.7,360.00
-105.9,29.75,360.00
-105.9,29.8,360.00
-105.9,29.85,360.00
-105.9,29.9,360.00
-105.9,29.95,360.00
-105.9,30.0,360.00
-105.9,30.05,360.00
-105.9,30.1,360.00
-105.9,30.15,360.00
-105.9,30.2,360.00
-105.9,30.25,360.00
-105.9,30.3,360.00
-105.9,30.35,360.00
-105.9,30.4,360.00
-105.9,30.45,360.00
-105.9,30.5,360.00
-105.9,30.55,360.00
-105.9,30.6,360.00
-105.9,30.65,360.00
-105.9,30.7,360.00
-105.9,30.75,360.00
-105.9,30.8,360.00
-105.9,30.85,360.00
-105.9,30.9,360.00
-105.9,30.95,360.00
-105.9,31.0,360.00
-105.9,31.05,360.00
-105.9,31.1,360.00
-105.9,31.15,360.00
-105.9,31.2,360.00
-105.9,31.25,360.00
-105.9,31.3,360.00
-105.9,31.35,360.00
-105.9,31.4,360.00
-105.9,31.45,360.00
-105.9,31.5,360.00
-105.9,31.55,360.00
-105.9,31.6,360.00
-105.9,31.65,360.00
-105.9,31.7,360.00
-105.9,31.75,360.00
-105.9,31.8,360.00
-105.9,31.85,360.00
